,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Ben Duffy,C,PEI,19.598,334,139,132,70,271,341,811,17.504,0.505,0.551,0.264,1.058,1.328,2.862
1,Brandon Hynes,RW,VIC/BAT/VDO,19.064,318,170,96,67,266,333,1375,13.105,0.576,0.364,0.237,0.942,1.184,4.382
2,Conor Garland,RW,MON,18.638,206,104,149,75,253,328,826,12.438,0.532,0.798,0.395,1.33,1.726,4.38
3,Guillaume Asselin,RW,MTL/CHI,19.078,331,132,107,67,239,306,778,16.189,0.425,0.34,0.26,0.761,1.022,2.79
4,Benjamin Casavant,LW,ROU/PEI/SHA/VDO,19.712,285,143,73,76,216,292,821,18.45,0.53,0.299,0.26,0.83,1.09,2.851
5,Philip-Michael Devos,C,VIC/GAT,19.514,268,105,107,67,212,279,580,20.236,0.516,0.462,0.336,0.98,1.319,2.432
6,Angelo Miceli,C,VIC,19.606,255,118,96,65,214,279,758,15.263,0.5,0.468,0.256,0.97,1.224,3.135
7,Nicolas Roy,C,CHI/SHE,18.095,309,122,101,53,223,276,815,11.81,0.372,0.322,0.128,0.693,0.823,2.576
8,Adam Erne,LW,QUE,18.532,240,118,91,66,209,275,884,13.855,0.556,0.396,0.325,0.952,1.277,3.988
9,Charles Hudon,LW,CHI/BAC,18.356,235,104,102,67,206,273,917,10.654,0.464,0.458,0.328,0.92,1.241,4.474
10,Christopher Clapperton,LW,BLB/RIM,19.687,237,113,84,73,197,270,670,16.446,0.511,0.356,0.311,0.868,1.184,3.155
11,Alex Saulnier,C,MON,19.166,247,92,90,86,182,268,515,17.335,0.402,0.388,0.374,0.792,1.166,2.329
12,Joel Champagne,C,CHI/PEI/VIC/QUE,19.766,255,104,95,63,199,262,729,13.933,0.41,0.414,0.298,0.822,1.128,2.925
13,Daniel Sprong,RW,CHA,18.624,199,117,106,38,223,261,815,17.435,0.762,0.556,0.266,1.32,1.585,4.339
14,Anthony Mantha,RW,VDO,18.123,189,129,85,46,214,260,742,15.938,0.731,0.51,0.248,1.241,1.489,4.031
15,Zach O'Brien,C,ROU/BAT,19.338,192,126,93,41,219,260,748,14.521,0.615,0.49,0.18,1.108,1.285,3.892
