,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Chris St. Jacques,C,M.H,19.772,249,131,119,79,250,329,0.52,0.524,0.344,1.039,1.381
1,Chad Klassen,C,SPO/SAS,19.48,310,109,99,76,208,284,0.382,0.364,0.259,0.74,1.0
2,Adam Courchaine,C,M.H/VAN,19.44,285,131,99,53,230,283,0.448,0.386,0.22,0.837,1.058
3,Dylan Stanley,C,TRI,19.706,339,113,113,54,226,280,0.328,0.336,0.17,0.666,0.835
4,Eric Fehr,RW,BRN,18.085,279,146,74,57,220,277,0.647,0.305,0.254,0.952,1.2
5,Nigel Dawes,LW,KTN,18.722,245,159,74,39,233,272,0.721,0.286,0.144,1.005,1.156
6,Erik Christensen,C,KAM/BRN,18.871,272,124,102,46,226,272,0.493,0.396,0.19,0.886,1.072
7,Dustin Johner,C,SEA,19.654,285,120,102,49,222,271,0.414,0.348,0.156,0.76,0.91
8,Duncan Milroy,RW,S.C/KTN,18.852,193,117,78,62,195,257,0.595,0.412,0.318,1.002,1.318
9,Tyler Redenbach,C,P.G/S.C/LET,19.098,261,70,125,62,195,257,0.296,0.496,0.245,0.794,1.036
10,Colton Yellow Horn,LW,LET/TRI,18.49,263,105,83,64,188,252,0.504,0.326,0.284,0.826,1.115
11,Tyler Metcalfe,LW,SEA,19.322,326,93,92,63,185,248,0.308,0.27,0.19,0.578,0.762
12,Tim Konsorada,RW,BRN,19.55,306,80,100,66,180,246,0.297,0.382,0.329,0.679,1.007
13,Stefan Meyer,C,M.H,18.218,282,123,73,50,196,246,0.459,0.306,0.216,0.766,0.981
14,Jonathan Filewich,RW,P.G/LET,19.016,318,121,75,50,196,246,0.503,0.276,0.19,0.779,0.968
15,Aaron Gagnon,C,SEA,19.426,318,123,75,46,198,244,0.53,0.288,0.202,0.818,1.02
16,Devin Setoguchi,RW,SAS/P.G,18.83,255,118,88,37,206,243,0.548,0.353,0.186,0.899,1.085
17,Ryan Stone,C,BRN,18.615,239,78,105,57,183,240,0.389,0.514,0.271,0.903,1.171
18,Joffrey Lupul,C,M.H,18.23,191,127,64,49,191,240,0.712,0.38,0.258,1.092,1.35
19,Ryan Kinasewich,LW,M.H/TRI,19.197,248,103,90,46,193,239,0.509,0.418,0.201,0.926,1.126
20,Lance Monych,RW,BRN,19.204,316,110,77,49,187,236,0.426,0.31,0.166,0.735,0.901
21,Dale Mahovsky,C,KTN,19.705,344,86,90,58,176,234,0.295,0.302,0.2,0.597,0.802
22,Eric Hunter,C,P.G,19.159,323,111,72,50,183,233,0.379,0.247,0.176,0.626,0.802
23,Tyler Mosienko,C,KEL,19.55,338,81,79,72,160,232,0.23,0.25,0.233,0.48,0.713
24,Seth Leonard,LW,KEL/P.A,18.92,256,111,76,43,187,230,0.505,0.335,0.17,0.84,1.011
