,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Cody Glass,C,POR,18.459,169,83,115,67,198,265,0.477,0.747,0.397,1.227,1.62
1,Trey Fix-Wolansky,RW,EDM,18.558,199,86,98,51,184,235,0.413,0.625,0.28,1.038,1.318
2,Stelio Mattheos,C,BDN,18.256,190,106,86,42,192,234,0.57,0.46,0.233,1.027,1.257
3,Jayden Halbgewachs,C,MJ,19.986,143,120,65,45,185,230,0.835,0.455,0.315,1.29,1.605
4,Joachim Blichfeld,LW,POR,19.165,177,103,62,51,165,216,0.583,0.35,0.29,0.937,1.227
5,Brandon Hagel,LW,RD,19.053,176,82,90,43,172,215,0.467,0.52,0.243,0.987,1.23
6,Sam Steel,C,REG,19.114,120,83,82,49,165,214,0.685,0.685,0.395,1.365,1.76
7,Jordy Bellerive,C,LET,18.374,198,97,64,52,161,213,0.487,0.327,0.267,0.813,1.08
8,Aleksi Heponiemi,C,SC,18.184,129,56,89,59,145,204,0.44,0.71,0.48,1.155,1.63
9,Matthew Phillips,C,VIC,18.945,141,98,71,34,169,203,0.695,0.5,0.24,1.2,1.44
10,Noah Gregor,C,MJ/MJ/VIC/PA,19.135,165,91,71,40,162,202,0.553,0.437,0.237,0.99,1.227
11,Dante Hannoun,C,VIC/PA/VIC,19.122,186,77,80,44,157,201,0.43,0.443,0.223,0.873,1.1
12,Max Gerlach,RW,MH/MH/SAS/SAS,19.45,195,105,52,39,157,196,0.543,0.267,0.203,0.813,1.013
13,Brayden Burke,LW,LET/MJ/MJ,20.204,122,50,85,60,135,195,0.41,0.695,0.49,1.105,1.595
14,Tyler Steenbergen,C,SC,19.188,128,98,53,41,151,192,0.775,0.415,0.345,1.19,1.535
15,Jaret Anderson-Dolan,C,SPO,18.01,162,88,60,43,148,191,0.52,0.39,0.287,0.91,1.197
16,Davis Koch,RW,EDM/VAN/EDM/VAN,19.258,196,66,83,40,149,189,0.34,0.423,0.203,0.77,0.97
17,Nick Henry,RW,REG/LET/REG,18.202,183,71,62,53,133,186,0.377,0.34,0.277,0.717,0.993
18,Glenn Gawdin,C,SC,19.977,119,82,51,50,133,183,0.67,0.41,0.415,1.08,1.495
19,Kole Lind,RW,KEL,18.416,128,69,75,38,144,182,0.55,0.605,0.29,1.155,1.44
20,James Hamblin,C,MH,18.388,197,75,57,47,132,179,0.387,0.29,0.24,0.683,0.92
21,Patrick Bajkov,RW,EVT,19.301,143,62,66,49,128,177,0.435,0.46,0.345,0.895,1.235
22,Morgan Geekie,C,TC,18.658,140,65,71,39,136,175,0.465,0.505,0.28,0.975,1.25
23,James Malm,C,VAN/VAN/CGY,18.226,193,62,72,41,134,175,0.33,0.373,0.22,0.71,0.923
24,Giorgio Estephan,C,LET/SC/LET,20.114,137,65,55,55,120,175,0.47,0.4,0.4,0.88,1.28
25,Connor Dewar,C,EVT,18.224,191,87,48,36,135,171,0.477,0.26,0.203,0.74,0.94
26,Skyler McKenzie,LW,POR,19.153,144,89,47,35,136,171,0.615,0.325,0.24,0.945,1.19
27,Ty Lewis,LW,BDN,19.032,140,74,57,37,131,168,0.53,0.405,0.265,0.935,1.2
28,Ty Smith,D,SPO,17.479,181,25,64,78,89,167,0.137,0.367,0.457,0.5,0.957
29,Nolan Volcan,LW,SEA,19.201,182,67,57,42,124,166,0.37,0.31,0.23,0.677,0.913
30,Kailer Yamamoto,RW,SPO,18.463,105,63,61,39,124,163,0.59,0.6,0.375,1.185,1.56
31,Cole Fonstad,LW,PA,17.394,199,58,60,43,118,161,0.3,0.303,0.217,0.603,0.82
