"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tim Gettinger","LW","SSM","19.423","66","1","2","0","3","3","3","33.33","0.02","0.03","0.0","0.05","0.05","0.05","0.52","0.01","1","1","100.0","0","0","0.0","0","2","0.0","1","3","33.33"
"","Hayden Verbeek","C","SSM","19.913","67","2","1","0","3","3","3","66.67","0.03","0.01","0.0","0.04","0.04","0.04","0.21","0.0","1","2","50.0","0","0","0.0","1","1","100.0","19","26","73.08"
"","Kevin Hancock","LW","OS","19.54","53","1","2","0","3","3","4","25.0","0.02","0.04","0.0","0.06","0.06","0.08","0.7","0.01","0","0","0.0","1","2","50.0","0","2","0.0","8","12","66.67"
"","Tye Felhaber","LW","OTT","19.113","68","2","0","1","2","3","4","50.0","0.03","0.0","0.01","0.03","0.04","0.06","0.68","0.01","1","2","50.0","0","0","0.0","1","2","50.0","2","7","28.57"
"","Aaron Luchuk","C","WSR/BAR","20.447","68","1","1","1","2","3","4","25.0","0.01","0.01","0.01","0.03","0.04","0.06","0.8","0.01","0","1","0.0","0","0","0.0","1","3","33.33","13","27","48.15"
"","Nick Suzuki","C","OS","18.1","64","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.08","0.0","0","0","0.0","0","0","0.0","1","1","100.0","15","26","57.69"
"","Blade Jenkins","LW","SAG","17.095","68","1","1","0","2","2","1","100.0","0.01","0.01","0.0","0.03","0.03","0.01","0.11","0.0","0","0","0.0","0","0","0.0","1","1","100.0","6","13","46.15"
"","Sasha Chmelevski","C","OTT","18.27","68","2","0","0","2","2","6","33.33","0.03","0.0","0.0","0.03","0.03","0.09","0.54","0.01","0","0","0.0","1","1","100.0","1","5","20.0","8","17","47.06"
"","Cade Robinson","RW","OS/ER","17.9","65","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.03","0.03","0.05","0.21","0.0","0","0","0.0","0","0","0.0","1","3","33.33","0","2","0.0"
"","Albert Michnac","C","MISS","18.911","59","2","0","0","2","2","4","50.0","0.03","0.0","0.0","0.03","0.03","0.07","0.5","0.01","0","0","0.0","1","1","100.0","1","3","33.33","1","1","100.0"
"","Serron Noel","RW","OSH","17.104","62","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.25","0.0","1","1","100.0","0","0","0.0","0","0","0.0","1","2","50.0"
"","Ben Jones","C","NIAG","18.552","68","0","2","0","2","2","1","0.0","0.0","0.03","0.0","0.03","0.03","0.01","0.11","0.0","0","0","0.0","0","0","0.0","0","1","0.0","5","11","45.45"
"","Danial Singer","RW","NIAG","18.596","67","2","0","0","2","2","2","100.0","0.03","0.0","0.0","0.03","0.03","0.03","0.33","0.0","0","0","0.0","0","0","0.0","2","2","100.0","0","0","0.0"
"","Akil Thomas","RW","NIAG","17.703","68","0","2","0","2","2","1","0.0","0.0","0.03","0.0","0.03","0.03","0.01","0.12","0.0","0","0","0.0","0","0","0.0","0","1","0.0","14","26","53.85"
